date,open,high,low,close,volume,SMA_short,SMA_long,RSI,Signal
2022-01-21,15694.8203125,15728.2900390625,15456.8701171875,15603.8798828125,105899500,15675.81521484375,15679.6624609375,43.39355362568402,0
2022-01-24,15499.6103515625,15587.3896484375,14952.669921875,15011.1298828125,115815500,15667.520615234374,15675.80845703125,32.17884196047501,0
2022-01-25,15139.0703125,15205.75,14979.1103515625,15123.8701171875,86066500,15660.947314453126,15672.581126302084,35.58855619862088,0
2022-01-26,15273.0595703125,15524.9599609375,15272.8701171875,15459.3896484375,82970700,15656.220009765624,15671.949192708333,44.52693047820881,0
2022-01-27,15229.98046875,15582.4501953125,15197.5302734375,15524.26953125,105993600,15653.031806640625,15670.840390625,46.084983308958826,0
2022-01-28,15411.8603515625,15416.58984375,15122.650390625,15318.9501953125,91381200,15650.118505859375,15669.426458333333,42.05907248519754,0
2022-01-31,15506.7900390625,15566.3798828125,15338.1904296875,15471.2001953125,88305600,15648.59900390625,15668.542395833334,45.83753624698729,0
2022-02-01,15620.5595703125,15687.9599609375,15537.0498046875,15619.3896484375,74929400,15648.6948046875,15668.337727864584,49.3029656104027,0
2022-02-02,15689.16015625,15736.51953125,15604.990234375,15613.76953125,66319500,15647.81830078125,15668.016393229167,49.17446327301251,0
2022-02-03,15565.9404296875,15602.5,15367.16015625,15368.4697265625,104951100,15644.273095703125,15667.063658854167,43.80756225782111,0
2022-02-04,15410.73046875,15423.9404296875,15060.48046875,15099.5595703125,93799100,15639.10869140625,15663.109322916667,38.807307263804866,0
2022-02-07,15220.080078125,15256.080078125,15076.8896484375,15206.6396484375,71120600,15634.657587890624,15661.68265625,41.662760785890434,0
2022-02-08,15221.7001953125,15338.0,15158.7998046875,15242.3798828125,80957900,15632.1796875,15658.71232421875,42.62510586205093,0
2022-02-09,15356.9501953125,15513.9404296875,15351.48046875,15482.009765625,85342900,15635.679189453125,15656.655657552083,48.73173868805854,0
2022-02-10,15597.0595703125,15614.4697265625,15413.3701171875,15490.4404296875,94694700,15637.098291015625,15654.66099609375,48.93765283119009,0
2022-02-11,15353.8603515625,15511.33984375,15308.6904296875,15425.1201171875,100055100,15636.28208984375,15652.235260416666,47.35080208414172,0
2022-02-14,15065.73046875,15150.5400390625,14844.099609375,15113.9697265625,119705200,15630.98208984375,15648.79732421875,40.59772879388313,0
2022-02-15,15077.3203125,15418.41015625,15068.330078125,15412.7099609375,83214500,15629.791689453124,15647.94666015625,48.23163197435388,0
2022-02-16,15431.26953125,15542.83984375,15374.0,15396.0703125,31633100,15628.01359375,15649.699127604166,47.862675039911686,0
2022-02-17,15404.1396484375,15440.080078125,15206.400390625,15267.6298828125,78678300,15628.204296875,15650.041529947917,45.00107523344791,0
2022-02-18,15278.66015625,15317.3896484375,14989.0498046875,15042.509765625,87529800,15624.97669921875,15647.50826171875,40.437610915380894,0
2022-02-21,15186.6298828125,15192.4697265625,14617.66015625,14731.1201171875,78145800,15619.68099609375,15642.285462239583,35.13079211570864,0
2022-02-22,14365.0595703125,14782.16015625,14357.8603515625,14693.0,115316300,15615.046591796876,15635.776861979166,34.53331431930249,0
2022-02-23,14754.2197265625,14901.08984375,14586.349609375,14631.3603515625,89094500,15610.994697265625,15629.192727864584,33.53999822325002,0
2022-02-24,13989.41015625,14221.7099609375,13807.2802734375,14052.099609375,219860100,15599.570791015625,15619.412526041666,25.97777100441058,0
2022-02-25,14230.08984375,14567.6201171875,14027.9296875,14567.23046875,160377100,15595.509794921874,15612.724993489583,39.12299820145437,0
2022-02-28,14263.73046875,14510.76953125,14106.8896484375,14461.01953125,160848700,15587.61138671875,15604.8619921875,37.6388454898022,0
2022-03-01,14404.2197265625,14448.6103515625,13904.849609375,13904.849609375,145245900,15574.598583984374,15593.931725260416,31.005807988034213,0
2022-03-02,13836.9296875,14114.7900390625,13707.8603515625,14000.1103515625,158825300,15562.608291015626,15583.4742578125,33.177944596876856,0
2022-03-03,13990.25,14057.150390625,13669.099609375,13698.400390625,118913500,15548.12359375,15571.096393229167,29.960680940277623,0
2022-03-04,13485.98046875,13562.599609375,13094.5400390625,13094.5400390625,178566000,15526.5751953125,15553.779127604166,24.781152461257623,0
2022-03-07,12614.080078125,13150.349609375,12438.849609375,12834.650390625,192412700,15500.294501953125,15534.378997395834,22.94282612553506,0
2022-03-08,12673.8896484375,13106.7802734375,12672.0,12831.509765625,172923800,15472.73599609375,15514.846061197917,22.920698198168875,0
2022-03-09,13215.0595703125,13847.9296875,13199.6796875,13847.9296875,177828900,15456.470595703126,15502.19619140625,42.31247148392494,0
2022-03-10,13819.4404296875,13829.9697265625,13341.7900390625,13442.099609375,148856700,15435.733291015626,15486.672122395834,38.18204682114793,0
2022-03-11,13479.6904296875,13943.9697265625,13407.9697265625,13628.1103515625,130836100,15416.7851953125,15472.01892578125,41.023770167109184,0
2022-03-14,13827.2197265625,14082.0595703125,13815.7998046875,13929.1103515625,118949300,15401.350703125,15458.629596354167,45.39788138485363,0
2022-03-15,13768.4404296875,13974.83984375,13577.8095703125,13917.26953125,101279000,15385.09359375,15444.895123697917,45.25568585468007,0
2022-03-16,14245.76953125,14553.099609375,14183.259765625,14440.740234375,138610100,15373.50869140625,15434.995188802084,52.359932069531425,0
2022-03-17,14500.0498046875,14509.23046875,14243.9404296875,14388.0595703125,96870400,15359.81869140625,15424.769251302083,51.6337323974602,0
2022-03-18,14374.41015625,14413.08984375,14109.7900390625,14413.08984375,181197700,15346.891494140626,15414.41671875,51.97455423623338,0
2022-03-21,14385.8203125,14457.2998046875,14306.259765625,14326.9697265625,69806300,15333.197890625,15404.824453125,50.65202478227977,0
2022-03-22,14365.669921875,14508.009765625,14343.33984375,14473.2001953125,79554100,15321.042197265626,15395.925520833332,52.84609338249303,0
2022-03-23,14532.83984375,14539.3095703125,14226.4296875,14283.650390625,76384100,15305.81580078125,15385.46458984375,49.757842609777605,0
2022-03-24,14305.7998046875,14375.8203125,14187.8203125,14273.7900390625,77315500,15289.00919921875,15374.584192708333,49.59547646477287,0
2022-03-25,14332.259765625,14428.0302734375,14247.3798828125,14305.759765625,73042400,15272.4669921875,15364.218190104166,50.16330133278192,0
2022-03-28,14376.0,14627.580078125,14371.900390625,14417.3701171875,70588000,15256.344189453124,15355.043190104167,52.18832047276641,0
2022-03-29,14592.740234375,14925.25,14553.7099609375,14820.330078125,99659400,15244.00388671875,15348.167057291666,58.711392913608684,0
2022-03-30,14712.3203125,14744.7197265625,14555.8701171875,14606.0498046875,76506500,15229.599189453125,15339.625325520834,54.45664292144641,0
2022-03-31,14674.830078125,14732.0,14404.0302734375,14414.75,88194400,15213.3419921875,15330.156393229166,50.909585330427674,0
2022-04-01,14447.7802734375,14506.01953125,14403.08984375,14446.48046875,72477600,15197.12849609375,15320.97099609375,51.47418016565594,0
2022-04-04,14503.9599609375,14535.0703125,14334.099609375,14518.16015625,69362800,15181.478994140625,15312.154798177084,52.794967217370704,0
2022-04-05,14504.7998046875,14603.4404296875,14347.330078125,14424.3603515625,79130600,15164.78189453125,15303.10919921875,50.84469133320502,0
2022-04-06,14402.16015625,14437.91015625,14027.1796875,14151.6904296875,104304600,15144.81240234375,15291.23966796875,45.57429290189732,0
2022-04-07,14187.1298828125,14315.349609375,14069.5302734375,14078.150390625,84791200,15123.115302734375,15279.473404947918,44.24228533709278,0
2022-04-08,14275.8701171875,14321.8203125,14178.2802734375,14283.669921875,74244800,15103.440703125,15270.6293359375,48.750363805228695,0
2022-04-11,14162.9697265625,14298.01953125,14094.830078125,14192.7802734375,69814800,15083.151201171875,15261.09353515625,46.94276849082188,0
2022-04-12,13956.5595703125,14180.08984375,13887.1103515625,14124.9501953125,104676200,15062.801005859375,15251.19447265625,45.584355756269055,0
2022-04-13,14062.7001953125,14100.0302734375,13961.9501953125,14076.4404296875,80458200,15042.408505859376,15240.361276041667,44.59055915734581,0
2022-04-14,14098.48046875,14198.7802734375,14038.2998046875,14163.849609375,87530500,15024.677001953125,15229.967005208333,46.83952614153787,0
2022-04-19,14057.4296875,14199.08984375,13991.7001953125,14153.4599609375,70608100,15007.427705078126,15220.21673828125,46.59742894622822,0
2022-04-20,14154.48046875,14362.0302734375,14149.6796875,14362.0302734375,75486900,14991.868203125,15211.618606770833,51.96492864229765,0
2022-04-21,14376.0498046875,14598.1103515625,14374.58984375,14502.41015625,78397500,14984.321904296876,15205.033541666666,55.22678764296255,0
2022-04-22,14320.509765625,14372.4697265625,14142.08984375,14142.08984375,82415500,14972.93419921875,15198.433743489584,46.49875059828864,0
2022-04-25,13908.0498046875,14037.6298828125,13863.3896484375,13924.169921875,85275400,14961.174599609374,15188.9380078125,42.159134085964816,0
2022-04-26,14087.080078125,14112.83984375,13749.6796875,13756.400390625,98346100,14944.011904296874,15177.269075520833,39.13127986485621,0
2022-04-27,13760.2197265625,13849.4296875,13566.2001953125,13793.9404296875,134621900,14929.320205078126,15164.935546875,40.166784236815175,0
2022-04-28,13907.0595703125,14074.7099609375,13822.16015625,13979.83984375,97665400,14917.418798828125,15154.589479166667,45.143615656671756,0
2022-04-29,14095.9296875,14187.01953125,14038.5498046875,14097.8798828125,102033100,14904.589697265625,15144.749479166667,48.095836155477244,0
2022-05-02,13996.8203125,14036.1103515625,13778.1298828125,13939.0703125,85974500,14885.84099609375,15136.01955078125,44.61685128910884,0
2022-05-03,13958.919921875,14081.150390625,13920.4599609375,14039.4697265625,86472700,14869.364794921876,15127.180885416667,47.21631613262084,0
2022-05-04,14020.900390625,14073.2099609375,13970.6201171875,13970.8203125,71631100,14852.680400390625,15118.581751302083,45.63895078209822,0
2022-05-05,14282.76953125,14315.240234375,13857.580078125,13902.51953125,86031700,14835.4725,15110.222278645833,44.06179040833917,0
2022-05-06,13832.650390625,13851.4501953125,13592.150390625,13674.2900390625,96547800,14815.998203125,15101.140546875,39.188426853774224,0
2022-05-09,13624.919921875,13697.900390625,13380.669921875,13380.669921875,82759800,14795.269306640625,15089.048411458334,33.98122483813532,0
2022-05-10,13550.01953125,13719.9501953125,13514.490234375,13534.740234375,84927900,14775.853212890624,15079.4578125,38.592152515422555,0
2022-05-11,13587.2900390625,13829.099609375,13508.5595703125,13828.6396484375,107719800,14757.77560546875,15069.976341145833,46.29730702918557,0
2022-05-12,13512.1298828125,13808.08984375,13479.3603515625,13739.6396484375,110587600,14739.85509765625,15060.199739583333,44.47730484042044,0
2022-05-13,13837.419921875,14034.150390625,13795.6396484375,14027.9296875,90805300,14727.7376953125,15052.391673177084,51.173065924006146,0
2022-05-16,13986.169921875,14043.099609375,13864.9501953125,13964.3798828125,67914800,14712.90708984375,15044.508404947917,49.74883123839381,0
2022-05-17,14072.669921875,14203.08984375,14056.98046875,14185.9404296875,71183700,14698.831796875,15037.41880859375,54.50311080101395,0
2022-05-18,14197.1796875,14226.4697265625,13999.5400390625,14007.759765625,69356900,14681.346298828124,15027.719075520834,50.37539453247347,0
2022-05-19,13822.349609375,13882.2998046875,13683.58984375,13882.2998046875,82304500,14661.816796875,15016.352005208333,47.63958550193587,0
2022-05-20,13968.259765625,14161.3203125,13944.16015625,13981.91015625,83084600,14641.998896484374,15006.401608072916,49.96308126370011,0
2022-05-23,14179.83984375,14217.48046875,14026.1396484375,14175.400390625,60577400,14625.230400390625,14997.46541015625,54.21335491411543,0
2022-05-24,14043.2197265625,14105.0595703125,13917.080078125,13919.75,70956400,14605.579296875,14986.777610677083,48.36745153501793,0
2022-05-25,14022.26953125,14053.58984375,13871.48046875,14007.9296875,64007200,14585.4512890625,14977.013411458332,50.35592390164807,0
2022-05-26,14025.4404296875,14253.6103515625,14025.4404296875,14231.2900390625,57436000,14566.2380859375,14968.26880859375,55.07548495735068,0
2022-05-27,14289.5302734375,14463.5,14246.830078125,14462.1904296875,71341500,14548.142490234375,14960.688541666666,59.37510155738824,0
2022-05-30,14572.7998046875,14589.4501953125,14509.580078125,14575.98046875,54721200,14533.3819921875,14952.814680989582,61.33884789230246,0
2022-05-31,14513.33984375,14547.08984375,14359.3896484375,14388.349609375,146716000,14517.7880859375,14944.031614583333,56.48988876578478,0
2022-06-01,14478.3701171875,14489.0,14329.509765625,14340.4697265625,68008900,14503.510087890625,14934.992545572917,55.28877709367998,0
2022-06-02,14394.3603515625,14492.7802734375,14393.0400390625,14485.169921875,50049600,14488.94369140625,14926.968548177083,58.182590444499525,0
2022-06-03,14585.1796875,14589.91015625,14443.1103515625,14460.08984375,46395500,14473.44138671875,14917.993880208332,57.48808404279207,0
2022-06-06,14576.8701171875,14709.3798828125,14548.259765625,14653.8095703125,38135700,14459.663583984375,14909.322942708333,61.32790154988764,0
2022-06-07,14569.2998046875,14590.6904296875,14458.33984375,14556.6201171875,51840700,14446.3973828125,14899.96720703125,58.47429010375873,0
2022-06-08,14595.7802734375,14602.0595703125,14378.5,14445.990234375,61851500,14431.520087890625,14889.40947265625,55.318932941005315,0
2022-06-09,14364.58984375,14420.73046875,14186.9296875,14198.7998046875,64865200,14415.782490234375,14877.039069010416,48.961495111590075,0
2022-06-10,14110.0302734375,14121.0703125,13749.76953125,13761.830078125,89335800,14395.30359375,14861.807805989583,40.172461064491245,0
2022-06-13,13564.4697265625,13648.83984375,13379.8701171875,13427.0302734375,91214200,14370.450595703125,14844.384876302083,34.98986592442356,0
2022-06-14,13557.4404296875,13569.9296875,13294.0,13304.3896484375,78302700,14347.455693359376,14825.961940104167,33.29538483521239,0
2022-06-15,13480.5,13566.7998046875,13358.400390625,13485.2900390625,80763200,14332.197294921874,14808.643138020834,38.060281720012135,0
2022-06-16,13440.4296875,13443.3203125,13007.91015625,13038.490234375,104048800,14311.34349609375,14788.272604166666,31.98340442947054,0
2022-06-17,13092.849609375,13237.7001953125,13020.419921875,13126.259765625,190391800,14288.012197265625,14768.123404947917,34.205751508623976,0
2022-06-20,13207.7900390625,13265.599609375,13106.3798828125,13265.599609375,54602700,14265.425498046876,14748.241666666667,37.686672476356335,0
2022-06-21,13335.150390625,13443.76953125,13273.2001953125,13292.400390625,64763900,14245.16,14728.516803385417,38.36214943001011,0
2022-06-22,13062.259765625,13206.1103515625,12965.6904296875,13144.2802734375,76135600,14221.89080078125,14708.00046875,36.037107474103294,0
2022-06-23,13082.6201171875,13120.3095703125,12912.58984375,12912.58984375,99254200,14194.822802734376,14686.35126953125,32.69871579305967,0
2022-06-24,12949.8701171875,13160.7099609375,12904.8603515625,13118.1298828125,95705800,14169.86640625,14666.367532552084,38.17081438825032,0
2022-06-27,13217.900390625,13378.419921875,13126.8603515625,13186.0703125,69024800,14148.042412109375,14648.028001302084,39.91001311824505,0
2022-06-28,13264.6201171875,13358.6201171875,13221.0400390625,13231.8203125,61092900,14129.36501953125,14630.384205729166,41.11126857873222,0
2022-06-29,13089.990234375,13132.3603515625,12946.759765625,13003.349609375,70350700,14107.332119140625,14610.953333333333,37.12037851187798,0
2022-06-30,12795.2197265625,12811.4296875,12618.6796875,12783.76953125,114222900,14082.746015625,14594.46486328125,33.7312472666009,0
2022-07-01,12627.66015625,12894.3798828125,12623.23046875,12813.0302734375,80285900,14056.056220703125,14578.012662760417,34.58830188754973,0
2022-07-04,12904.08984375,12919.7001953125,12741.6298828125,12773.3798828125,52500200,14028.885615234374,14562.50099609375,33.94760058936055,0
2022-07-05,12851.2900390625,12870.240234375,12390.9501953125,12401.2001953125,90489700,13998.646416015625,14542.02453125,28.593530782005335,0
2022-07-06,12587.5498046875,12668.6796875,12509.2197265625,12594.51953125,78681400,13973.4519140625,14524.23392578125,34.382508528066666,0
2022-07-07,12757.6298828125,12867.7099609375,12693.650390625,12843.2197265625,79392500,13947.75701171875,14508.7221875,41.00834092647722,0
2022-07-08,12814.099609375,13019.1298828125,12766.7998046875,13015.23046875,75193100,13923.94861328125,14492.951790364583,45.13483865265123,0
2022-07-11,12783.08984375,12934.8701171875,12774.23046875,12832.4404296875,55461200,13899.59671875,14473.075123697916,41.789501957599704,0
2022-07-12,12751.2998046875,12905.48046875,12655.0595703125,12905.48046875,65198400,13878.22642578125,14454.531061197917,43.58873305314197,0
2022-07-13,12800.8701171875,12851.900390625,12625.2197265625,12756.3203125,63030200,13858.478427734375,14435.31146484375,40.81429849263494,0
2022-07-14,12759.2900390625,12788.009765625,12434.2900390625,12519.66015625,72613000,13836.745029296875,14414.62046875,36.810859637024876,0
2022-07-15,12562.150390625,12875.669921875,12532.9404296875,12864.7197265625,77498400,13819.078623046875,14396.24046875,45.24428375239087,0
2022-07-18,12935.0498046875,13062.23046875,12913.6904296875,12959.8095703125,61274100,13808.15572265625,14379.61546875,47.33043580328486,0
2022-07-19,12884.830078125,13351.2001953125,12827.8896484375,13308.41015625,73418300,13795.56751953125,14365.1625390625,54.21695594742029,0
2022-07-20,13356.669921875,13399.400390625,13129.1298828125,13281.98046875,75183800,13783.77712890625,14349.46640625,53.64427585915587,0
2022-07-21,13261.8203125,13318.6396484375,13097.75,13246.6396484375,87886300,13777.195029296876,14334.232734375,52.84053975141988,0
2022-07-22,13179.5595703125,13367.0400390625,13171.1396484375,13253.6796875,76076400,13769.73072265625,14320.992799479167,52.99163415289328,0
2022-07-25,13183.240234375,13337.0595703125,13151.8603515625,13210.3203125,56561100,13764.849921875,14306.078665364583,51.88896013324036,0
2022-07-26,13181.919921875,13197.9501953125,13042.41015625,13096.9296875,58207700,13764.873818359374,14289.435065104166,49.0164566621085,0
2022-07-27,13158.6396484375,13204.580078125,13089.9599609375,13166.3798828125,79894900,13768.19111328125,14272.1688671875,50.81251810731469,0
2022-07-28,13214.41015625,13289.3896484375,13091.259765625,13282.1103515625,74308800,13772.697119140625,14255.147936197916,53.73722138944979,0
